generated_at,event_name,event_date,fighterA,fighterB,weight_class_name,raw_model_prob_a,final_prob_a,final_prob_b,striking_logit,grappling_logit,submission_logit,interaction_logit,dominant_path_logit,secondary_logit,regime_multiplier,dom_regime,striking_regime_score,wrestling_regime_score,submission_regime_score,contested_score,eff_pressure_a_to_b,eff_pressure_b_to_a,a_archetype,b_archetype,a_raw_slpm,a_stabilized_slpm,a_raw_td_avg,a_stabilized_td_avg,a_raw_kd_per15,a_stabilized_kd_per15,b_raw_slpm,b_stabilized_slpm,b_raw_td_avg,b_stabilized_td_avg,b_raw_kd_per15,b_stabilized_kd_per15,market_prob_a,model_market_gap,model_bucket,historical_actual,historical_bucket_samples
2026-05-13T18:42:52.367398+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Dooho Choi,Daniel Santos,Featherweight,0.779815,0.586701,0.413299,0.418115,-0.349477,-0.244122,-0.083488,0.187838,-0.01953,1.0,wrestling_control,0.15123,-0.441982,-0.127775,0.558018,0.424463,0.667257,balanced,balanced,4.669683,3.889002,1.425339,1.49389,0.81448,0.476578,4.764558,3.854711,3.009195,2.132607,0.501532,0.320392,,,55-60%,,0
2026-05-13T18:46:48.403038+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Dooho Choi,Daniel Santos,Featherweight,0.779815,0.586701,0.413299,0.418115,-0.349477,-0.244122,-0.083488,0.187838,-0.01953,1.0,wrestling_control,0.15123,-0.441982,-0.127775,0.558018,0.424463,0.667257,balanced,balanced,4.669683,3.889002,1.425339,1.49389,0.81448,0.476578,4.764558,3.854711,3.009195,2.132607,0.501532,0.320392,0.408163,0.178537,55-60%,,0
2026-05-13T18:54:33.440001+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Dooho Choi,Daniel Santos,Featherweight,0.779815,0.523693,0.476307,0.148287,-0.176972,-0.195956,-0.083488,-0.19026,0.011863,1.122831,wrestling_control,0.15123,-0.441982,-0.127775,0.558018,0.424463,0.667257,balanced,balanced,4.669683,3.889002,1.425339,1.49389,0.81448,0.476578,4.764558,3.854711,3.009195,2.132607,0.501532,0.320392,0.408163,0.115529,50-55%,,0
2026-05-13T19:10:16.032292+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Shauna Bannon,Nicolle Caliari,Women's Strawweight,0.78355,0.501417,0.498583,0.112074,-0.047533,-0.058131,-0.046916,-0.047533,0.019299,1.6,wrestling_control,-0.000112,-0.219127,-0.040795,0.780873,0.441867,0.638755,balanced,balanced,4.323529,3.609606,0.0,1.030788,0.0,0.133005,3.456,3.303093,2.88,1.892784,0.0,0.148454,0.350877,0.15054,50-55%,,0
2026-05-13T19:19:13.680586+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Shauna Bannon,Nicolle Caliari,Women's Strawweight,0.78355,0.527784,0.472216,0.112074,0.178765,0.249771,-0.046916,0.16629,0.0,1.0,wrestling_control,-0.000112,-0.219127,-0.040795,0.780873,0.441867,0.638755,balanced,balanced,4.323529,3.609606,0.0,1.030788,0.0,0.133005,3.456,3.303093,2.88,1.892784,0.0,0.148454,0.350877,0.176907,50-55%,,0
2026-05-13T19:30:37.834630+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Shauna Bannon,Nicolle Caliari,Women's Strawweight,0.78355,0.535237,0.464763,0.112074,0.178765,0.249771,-0.046916,0.16629,0.0,1.4,wrestling_control,-0.000112,-0.219127,-0.040795,0.780873,0.441867,0.638755,balanced,balanced,4.323529,3.609606,0.0,1.030788,0.0,0.133005,3.456,3.303093,2.88,1.892784,0.0,0.148454,0.350877,0.18436,50-55%,,0
2026-05-13T19:33:37.192875+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Shauna Bannon,Nicolle Caliari,Women's Strawweight,0.78355,0.550669,0.449331,0.112074,0.178765,0.249771,0.024776,0.16629,0.0,1.8,wrestling_control,-0.000112,-0.219127,-0.040795,0.780873,0.441867,0.638755,balanced,balanced,4.323529,3.609606,0.0,1.030788,0.0,0.133005,3.456,3.303093,2.88,1.892784,0.0,0.148454,0.350877,0.199792,55-60%,,0
2026-05-13T19:34:53.461362+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Shauna Bannon,Nicolle Caliari,Women's Strawweight,0.78355,0.584986,0.415014,0.112074,0.178765,0.249771,0.024776,0.16629,0.0,1.8,wrestling_control,-0.000112,-0.219127,-0.040795,0.780873,0.441867,0.638755,balanced,balanced,4.323529,3.609606,0.0,1.030788,0.0,0.133005,3.456,3.303093,2.88,1.892784,0.0,0.148454,0.350877,0.234109,55-60%,,0
2026-05-13T19:43:02.144368+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Shauna Bannon,Nicolle Caliari,Women's Strawweight,0.78355,0.610639,0.389361,0.112074,0.178765,0.249771,0.024776,0.16629,0.0,1.8,clean_dominance,-0.000112,-0.219127,-0.040795,0.780873,0.441867,0.638755,balanced,balanced,4.323529,3.609606,0.0,1.030788,0.0,0.133005,3.456,3.303093,2.88,1.892784,0.0,0.148454,0.350877,0.259762,60-65%,,0
2026-05-13T19:49:36.608977+00:00,UFC Fight Night: Allen vs. Costa,2026-05-16,Shauna Bannon,Nicolle Caliari,Women's Strawweight,0.78355,0.578105,0.421895,0.112074,0.178765,0.249771,0.024776,0.16629,0.0,1.8,clean_dominance,-0.000112,-0.219127,-0.040795,0.780873,0.441867,0.638755,balanced,balanced,4.323529,3.609606,0.0,1.030788,0.0,0.133005,3.456,3.303093,2.88,1.892784,0.0,0.148454,0.350877,0.227228,55-60%,,0
