fighterA,fighterB,strike_diff,takedown_diff,reach_diff,win_streak_diff,age_diff,experience_diff,finish_rate_diff,winner
Khamzat Chimaev,Sean Strickland,0.0,0.0,-2.54,0,-3.18,0,0.0,Sean Strickland
Joshua Van,Tatsuro Taira,0.0,0.0,-12.7,0,-1.7,0,0.0,Joshua Van
Alexander Volkov,Waldo Cortes Acosta,0.0,0.0,5.08,0,2.94,0,0.0,Alexander Volkov
Sean Brady,Joaquin Buckley,0.0,0.0,-10.16,0,1.43,0,0.0,Sean Brady
King Green,Jeremy Stephens,0.0,0.0,0.0,0,-0.3,0,0.0,King Green
Ateba Gautier,Ozzy Diaz,0.0,0.0,5.08,0,-11.38,0,0.0,Ateba Gautier
Joel Alvarez,Yaroslav Amosov,0.0,0.0,5.08,0,0.53,0,0.0,Yaroslav Amosov
Grant Dawson,Mateusz Rebecki,0.0,0.0,15.24,0,-1.39,0,0.0,Grant Dawson
Jim Miller,Jared Gordon,0.0,0.0,7.62,0,5.02,0,0.0,Jim Miller
Roman Kopylov,Marco Tulio,0.0,0.0,2.54,0,2.11,0,0.0,Roman Kopylov
Pat Sabatini,William Gomis,0.0,0.0,-7.62,0,6.6,0,0.0,Pat Sabatini
Baisangur Susurkaev,Djorden Santos,0.0,0.0,10.16,0,-3.44,0,0.0,Baisangur Susurkaev
Clayton Carpenter,Jose Ochoa,0.0,0.0,-2.54,0,4.56,0,0.0,Jose Ochoa
